video_id,video_title,channel,author,text,likes,replies,published_at,primary,all,length,first_person
6yKBuD8mCqg,"혼자 있을 때 더 편안한 사람, 알고보니 '이 유형' 입니다 (김경일 교수님 통합본)",책과삶,@장승의후예,생일 별거 없음. 걍 조용히 지나가는게 좋음.,1278,12,2026-05-03,기타,,25,0
QFAIVfI4Vl8,"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@yongsoopark9530,"혼자있을때가 가장좋다 그림그리기,독서(인문학),유트브보기 외로움은 없음",1277,15,2025-12-23,위안,위안,39,0
3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@jao-c7g,장례식도 자녀 결혼식도 남들을 왜 불러서 치뤄야 하는지 모르겠는 1인 입니다 신고만하고 끝내지 정말 귀찬음,1264,23,2026-04-03,자기서사,자기서사,59,0
Z-RrLaCDb54,함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@JohnKim-wx6vt,마음은 솔직히 크게 없는데 약간 ’의무적‘인 감정으로 어떤 무리에 남아있을 때 겉도는 것 같음. 딱히 맘에 맞는 멤버도 많이 없는데도 그냥 뭔가 ’사회생활‘하듯이 남아있다가 점전 들러리 취급받는 거 알고 슬슬 거리 더다가 아예 손절 치는 거,1260,5,2026-01-17,자기참조,자기참조,134,0
3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@영숙김-m3f,생일은 내가 챙겨 먹는게 아니구 낳아준 부모님께 챙겨드림이 맞는거 같어요.낳느라고 고생 하셨고 기르느라 수고 하셨으니,1259,39,2026-04-03,자기참조,자기참조,65,1
7XR-q8MhrPI,혼자 있을 때 가장 행복한 사람 특징,놀면서 배우는 심리학,@user-ih1111,ㄹㅇ 혼자가 제일 마음편하고 행복함 기빨릴 일 없음,1250,6,2024-06-30,자기참조,자기참조,28,0
uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@리락쿠마-o6t,모든 사람이 결혼해야 행복한건 아닙니다. 혼자 사는게 체질에 맞는 사람도 있어요.,1234,35,2024-04-08,자기서사,자기서사,45,0
QFAIVfI4Vl8,"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@더잘-m3b,혼자 밥. 먹을때 세상 자유롭다 ㅎㅎ,1225,8,2025-12-22,기타,,20,0
yDZ9zgeZn7c,"친구 한 명 없어도 혼자 잘 지내는 사람들의 '3가지' 장점 (최명기 원장, 한석준 아나운서, 이헌주 교수, 김아라 소장)",지식인사이드,@초이민-b7q,결국 인생은 혼자 혼자가 편하고 안정된 마음이에요,1186,25,2024-05-04,기타,,27,0
MKNj6oEqPUc,나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@Likeflute16,공감합니다.나이가 들수록 혼자 취미생활하고 보내는 시간들이 편합니다.사람관계는 적정한 거리를 유지했을때가 가장 좋은거 같습니다.,1145,8,2023-09-18,정체성확인,정체성확인,71,0
MKNj6oEqPUc,나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@aipara1154,경조사 때문에 친구를 사귀거나 유지해야한다고 생각하시는 분들. 결국 남들에게 보여지는 삶을 사는겁니다. 본인들만을 위한 행복한 삶을 사세요.,1129,19,2023-09-23,기타,,78,0
3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@그래서-v1n,진심이 없는 각종 경조사ㆍ기념일 안챙기기 시작했어요.(받지도 주지도 말자!),1127,3,2026-04-03,기타,,42,0
B_zaY5sLHXo,"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,@espressoeu,"맞아요 핀란드도 그렇고 미국에서도 남을 평가하는걸 제일 무례하다고 배워요. 외모평가, 지적질을 서로가 안하면 마음에 평화가 옵니다. 셀프지적도 하지말라고 합니다. 괜찮아 그럴수도있지 마인드랑 비슷.",1088,11,2025-07-11,기타,,110,0
CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,@무지개-i1g,진짜 맞다 다른 사람이랑 대화를 하면 나를 꾸미게 돼서 너무 피곤함 애써 밝은척 관심있는척 리액션 해야되는거 너무 지침..하 어뜩해,1058,0,2023-09-22,자기참조,자기참조,73,0
yDZ9zgeZn7c,"친구 한 명 없어도 혼자 잘 지내는 사람들의 '3가지' 장점 (최명기 원장, 한석준 아나운서, 이헌주 교수, 김아라 소장)",지식인사이드,@별사탕-r7w,사람관계는 그냥 인사정도하고 지내는것이 가장편한것같아요 친하게 지내면 무엇을하든 맞춰야되니 신경쓰이고 머리아파요,1057,14,2024-05-04,기타,,62,0
7XR-q8MhrPI,혼자 있을 때 가장 행복한 사람 특징,놀면서 배우는 심리학,@안콜라,집에서 청소하고 빨래하고 음악듣구 커피랑 빵먹고 저녁에 엽떡먹고 세상 행복. . 단 마음의 평온이 뒷받침 되야. . . . .,1014,7,2024-06-25,기타,,70,0
uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@묘견한J,괴롭고 더 외로움..ㅋㅋ 아무도없어서느끼는 외로움보다 옆에있지만 느끼는 외로움이 진짜 고통임,1010,14,2024-08-26,위안,위안|자기참조,51,0
QFAIVfI4Vl8,"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@forever3g,50되니 혼자있어도 외롭지가 않아요. 오히려 그 시간이 저를 더 행복하게 만들어줍니다,1001,22,2025-12-23,기타,,47,0
B_zaY5sLHXo,"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,@모래시계-c7d,어제 내가 좋아하는 빵집에서 너무나 맛있는 신상 빵을 먹고 (이것만으로 1차행복) 동네 예쁜 공원을 걸어 집으로 돌아가는 길에 계속 날씨가 덥다가 간만에 시원~~한 바람이 내 몸을 감싸는데..... 그 순간 너무 행복해서 오늘은 완벽한날이다 생각했다 ㅋㅋ 너무 소소하지만 행복한 하루였다,992,7,2025-07-13,자기서사,자기서사|자기참조,160,3
QFAIVfI4Vl8,"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@seabase5908,지능이 높으면 지능 낮은 일반 사람과의 대화가 고통이다,983,54,2026-01-03,기타,,30,0
h5fpQoymxfg,"혼자 시간을 보내는 사람이 매력 있는 이유, 외로움을 다루는 방법 (feat.오은영)[인스타그램, 인스타중독, SNS, 오은영, 외로움, 자존감, 우울증]",도서관 오목눈이,@eyesonme02,확실한건 이거인듯 혼자여도 할게 있어야함 막연히 폰만 바라보거나 항상 하던 게임 그런게 아니라 새롭게 알아가듯이 뇌를 자극시켜주는게 필요하다고 느낌 쳐질수록 더욱 나태해지는게 본성임 바뀌려 생각만 하지말고 몸이 움직여야함 반복된 일상에 자극을 줘야함,968,2,2024-01-21,자기참조,자기참조,139,0
B_zaY5sLHXo,"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,@또봄-m8s,시대에 따라 다른듯 옛날만해도 내향적이라도 사람들 가끔만나는게 즐거웠는데 지금 시대는 너무 다양한 즐길거리나 휴대폰 컴퓨터등 혼자만의 시간을 써도 부족할만큼 폭이 방대해져서 혼자만의 시간이 소중함,964,12,2025-07-11,자기서사,자기서사|자기참조,109,1
3a9uKBrUtLU,‼️혼자일 때 (이때가) 진짜 삶을 바꿀 기회다.ㅣ'이혼숙려캠프 상담가' 이호선 숭실사이버대학교 교수ㅣ인생강의,하와이 대저택,@친절한정선생기타,혼자 커피 마시며 책보는 게 가장 행복합니다.,963,10,2025-04-14,기타,,25,0
